"_id","anchor_currency","auto_accept_limit","auto_accept_quantity","bump_count","category_ids","coin_symbol","cost","created_at","custom","delivery_location_ids","description","display_num_offers","filename","filename_blitline_info","filename_blitline_status","filename_height","filename_smallimage_height","filename_smallimage_width","filename_width","indexing_status","is_wish","last_expiration_reset","modified_at","pickup_location_ids","privacy","published_at","seller_id","state","title","type","account_blocked","views","remotes","reports","ext_cost","closed_at","closed_reason","closed_type","reason","reports_verified","reports_verified_time","reports_verifier_id","auto_accept","location_ids"
"540c82b2f74caa0200a0815c","","","0","0","524a0df0bcffa3020000002c,524a1b555c47600200000075","SHEFA","1","2014-09-07T16:07:14.286Z","dW5kZWZpbmVk","5249de14a4e6cb02000002e8","גרילנדה עם נורות קטנות כתומות","0","https://mamazone-upload-test.s3.amazonaws.com/uploads/f2a9968b-3a24-83-1933-85873a14c07","mobile","new","1136","408","300","640","none","true","2014-11-26T12:13:52.286Z","2014-09-07T16:07:14.286Z","","public","2014-09-07T16:07:14.286Z","5408061e3771ba020090d4c9","open","גרילנדה","product","","","","","","","","","","","","","",""
"540c7da1fca674020092148f","","","0","0","5250a8f4e44375020000004b,524b476ec07b25020000009f,524b51a2c07b2502000000cf","SHEFA","85","2014-09-07T15:45:37.151Z","dW5kZWZpbmVk","5249de14a4e6cb02000002e8","המחשב נתקע? לא עובד? איבדתם קובץ שאתם ממש צריכים?\nממש כמו טיפול אנרגטי באנשים, אני אתחבר לאנרגיה של המחשב שלכם ואטפל בבעיה מרחוק.\n\nמוזמנים לשלם כפי יכולתכם ורצונכם. לא עבד? התשלום יוחזר!\n\nאני מטפל באנרגיות (באנשים) ולא פעם הצלחתי לעזור לאנשים שחוו תסכול מהמחשב בלי לגעת בכלל במחשב שלהם.\n\nמוזמנים לשלוח לי הודעה או להתקשר, לספר על התקלה ואני אשלח אנרגיה למחשב מרחוק.\n\nמרוצים מהשרות? מוזמנים בנוסף להשאיר תגובה חיובית.","0","https://mamazone-upload-test.s3.amazonaws.com/uploads/da3d9dc0-4299-d6f5-7866-24955107aeda","mobile","new","456","214","300","640","none","false","2014-12-10T17:48:42.235Z","2015-01-12T13:49:57.268Z","","public","2014-09-07T15:45:37.151Z","52ddbb93933d8902000000fa","open","טיפול אנרגטי מרחוק במחשבכם","product","false","49","","","","","","","","","","","",""
"540c7c4b3d445802000066fa","","","1","0","53693ac1d2a73902005eb9e6,5250a8f4e44375020000004b","SHEFA","60","2014-09-07T15:39:55.586Z","dW5kZWZpbmVk","524bdfddfdb33702000001e2","הדרכה טלפונית על עדכון והחלפה של מערכת ההפעלה אנדרואיד בטלפונים סלולריים, בעיקר של סמסונג","0","","","","","","","","none","false","2014-11-26T12:13:52.286Z","2014-09-07T15:39:55.586Z","","public","2014-09-07T15:39:55.586Z","540c77cbc6f9c7020089121c","open","הדרכה לעדכון והחלפת מערכת הפעלה בפלאפון","product","","7","","","","","","","","","","","",""
"540c63beea640d02000567a9","","","0","0","532c51e2cdbc7f0200001c78","SHEFA","10","2014-09-07T13:55:10.674Z","dW5kZWZpbmVk","5249ed17377c5e0200000060,524c14b2c07b250200000290","אטבים למכירה 20 אטבים מפלסטיק","0","https://mamazone-upload-test.s3.amazonaws.com/uploads/419282aa-bab2-3fe0-87ee-94fdc4c3cc6d","mobile","new","280","300","300","280","none","false","2014-11-26T12:13:52.286Z","2014-09-07T13:55:10.674Z","","public","2014-09-07T13:55:10.674Z","536f7fd7193b0c020041f399","open","אטבים","product","","17","","","","","","","","","","","",""
"540c6305ea640d020005677a","","","0","0","527f945290b75a02000004d8","SHEFA","1","2014-09-07T13:52:05.552Z","dW5kZWZpbmVk","5249ed17377c5e0200000060","זה פשוט הספר בתרגום לעברית של עושר האומות של אדם סמית","0","https://mamazone-upload-test.s3.amazonaws.com/uploads/828844ea-270f-8e6-340a-8045cba79f0a","mobile","new","450","440","300","376","none","true","2014-11-26T12:13:52.286Z","2014-09-07T13:52:05.552Z","","public","2014-09-07T13:52:05.552Z","536f7fd7193b0c020041f399","open","הספר אושר האומות","product","","","","","","","","","","","","","",""
"540c56bcea640d020005656a","","1","1","0","524b51a2c07b2502000000cf,5224fe6fbe7c7c0300000014","SHEFA","250","2014-09-07T12:59:40.363Z","dW5kZWZpbmVk","","מציעה לבוא לבית החתול להאכיל, לתת מים, לשחק איתו, ללטף לתת לו תשומת לב לפחות שעה אחת ביום.\nניסיון עם חתולים - גדלתי עם חתולים כל חיי, בבית וברחוב, הייתי אסיסטנטית אצל וטרינרית במשך 4 שנים והתנדבתי כמה שנים באגודת חובבי החתולים בתור אומנה לגורי חתולים.","0","https://mamazone-upload-test.s3.amazonaws.com/uploads/3d67fcb5-4b3-b349-2ef8-c5f51edacff","mobile","new","2736","225","300","3648","none","false","2014-11-26T12:13:52.286Z","2014-09-07T12:59:40.363Z","524c148cc07b25020000028c","public","2014-09-07T12:59:40.363Z","540c52ae3d44580200005fb6","open","קטסיטרית בזמן חופשה בבית החתול","product","","18","","","","","","","","","","","",""
"540c45d7ea640d02000561f4","","","7","0","532c6195bfa9450200005d3a","SHEFA","20","2014-09-07T11:47:35.294Z","dW5kZWZpbmVk","5249ec3c377c5e020000004f","לכל אוהבי התה הטבעי, לימונית!","0","https://mamazone-upload-test.s3.amazonaws.com/uploads/acf627b-9a1b-d184-dccc-c6d649fc16d","mobile","new","194","225","300","259","none","false","2014-12-13T19:15:03.970Z","2014-09-07T11:47:35.294Z","","public","2014-09-07T11:47:35.294Z","51bf785d7daf3b0200000a56","open","לימונית לתה","product","","23","","","","","","","","","","","",""
"540c3d61f74caa0200a07534","","","0","0","524b4717c07b25020000009a","SHEFA","1","2014-09-07T11:11:29.204Z","dW5kZWZpbmVk","5249de14a4e6cb02000002e8","","0","","","","","","","","none","true","2014-11-26T12:13:52.286Z","2014-09-07T11:11:29.204Z","","public","2014-09-07T11:11:29.204Z","52a349aba295fa020000045a","open","נעליים ליומיום מידה 39-40","product","","1","","","","","","","","","","","",""
"540c3caff74caa0200a0750d","","","0","0","524a0df0bcffa3020000002c","SHEFA","1","2014-09-07T11:08:31.606Z","dW5kZWZpbmVk","","מכונת כביסה קטנה","0","","","","","","","","none","true","2014-11-26T12:13:52.286Z","2014-09-07T11:08:31.606Z","5249ec52377c5e0200000053,524c148cc07b25020000028c","public","2014-09-07T11:08:31.606Z","520dee57cc39c90200000522","open","סטודנט מתחיל שנה א' זקוק למכונת כביסה :)","product","","","","","","","","","","","","","",""
"540c36793d44580200005b40","","","0","0","5224fe6fbe7c7c0300000007","SHEFA","20","2014-09-07T10:42:01.066Z","dW5kZWZpbmVk","5249de14a4e6cb02000002e8","מגנט עגול וצבעוני בקוטר 5.5 ס\"מ, של לולי גולשת על הקשת. המחיר כולל משלוח בדואר רגיל.\nלולי היא דמות חמודה מאוד, מקורית וצבעונית. אפשר למצוא אותה משחקת ומספרת על כל הצבעים שהיא אוהבת, בספר אינטראקטיבי חינמי בעברית או באנגלית לאייפון או לאייפד. \nhttp://www.iphoneil.net/?p=83054","0","https://mamazone-upload-test.s3.amazonaws.com/uploads/630a748c-18a9-5788-e968-60cf5883f9a1","mobile","new","652","157","300","1247","none","false","2014-11-26T12:13:52.286Z","2014-09-07T10:42:01.066Z","","public","2014-09-07T10:42:01.066Z","52947755bd9e8702000000b0","open","מגנט לולי גולשת על הקשת","product","","3","","","","","","","","","","","",""
"540c3565f74caa0200a073bc","","","0","0","524b515bfdb33702000000c8","SHEFA","200","2014-09-07T10:37:25.117Z","dW5kZWZpbmVk","","קשה לגמור את החודש? לא מסתדרים עם התקציב? הטלבטות עיסקית?\nאני יכול לעזור.\nדורון 050-8772188","0","","","","","","","","none","false","2014-11-26T12:13:52.286Z","2014-09-07T10:37:25.117Z","524c1055fdb33702000002c7,5249ec3c377c5e020000004f,5249eb3d377c5e0200000030,5249eb6d377c5e0200000036,5379110a32dc210200ffe462,53846d07a792350200f3a380,524c110bfdb33702000002d0,5249eb63377c5e0200000035,5314440bcb3e3f0200001df4,53cbbdf35a3a9d02005df6bb,525f9b902d4db1020000019c,524c0ffafdb33702000002bf,53846c389d274202006e019c,525fc0692d4db102000001ec,52b3370d0b76fd020000017d,538ade44fff44202008cb2ef,53846c52d2559f0200e402e3","public","2014-09-07T10:37:25.117Z","540b7558fca674020091f960","open","אימון וייעוץ כלכלי / עיסקי","product","","2","","","","","","","","","","","",""
"540c0920fca674020092027a","","","1","0","527f947090b75a02000004ee","SHEFA","30","2014-09-07T07:28:32.830Z","dW5kZWZpbmVk","","ספר המדריך אותך שבוע אחר שבוע לאורך תקופת ההיריון ולאחר הלידה.","0","https://mamazone-upload-test.s3.amazonaws.com/uploads/fb9a122a-ce11-d081-155-4e5817b7d32f","mobile","new","850","426","300","600","none","false","2014-11-26T12:13:52.286Z","2014-09-07T07:28:32.830Z","53846d2c49c45c02003bd239","public","2014-09-07T07:28:32.830Z","52545718edefeb0200000149","open","המדריך שלך להיריון וללידה","product","","","","","","","","","","","","","",""
